,Statement,Link,Date,Source,Label
11,Then-Vice President Mike Pence "seized power" from President Donald Trump and undertook "a coup" when he called on federal agencies to stop the Jan. 6 Capitol riot.,https://www.politifact.com/factchecks/2022/sep/19/mark-finchem/arizona-republican-said-pence-seized-power-trump-u/,"mber 19, 2022",Mark Finchem,FALSE
12,?The Simpsons? predicted Queen Elizabeth II?s 2022 death.,https://www.politifact.com/factchecks/2022/sep/19/viral-image/simpsons-didnt-predict-queens-death/,"mber 19, 2022",Viral image,FALSE
13,"?Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.?",https://www.politifact.com/factchecks/2022/sep/19/kathy-hoffman/yes-kathy-hoffman-lobbied-hire-hundreds-counselors/,"mber 19, 2022",Kathy Hoffman,TRUE
14,A royal guard member collapsed because of the COVID-19 vaccine.,https://www.politifact.com/factchecks/2022/sep/16/instagram-posts/unfounded-claims-connect-fainting-royal-guard-covi/,"mber 16, 2022",Instagram posts,FALSE
15,Photo shows Queen Elizabeth II checking the oil of a car.,https://www.politifact.com/factchecks/2022/sep/16/viral-image/no-isnt-real-photo-queen-elizabeth-ii-checking-car/,"mber 16, 2022",Viral image,FALSE
16,?Incomes are up.?,https://www.politifact.com/factchecks/2022/sep/16/joe-biden/joe-biden-said-incomes-are-ignores-inflation/,"mber 16, 2022",Joe Biden,FALSE
17,Blake Masters does not support abortion exceptions for rape and incest.,https://www.politifact.com/factchecks/2022/sep/16/senate-majority-pac/senate-candidate-blake-masters-backs-15-week-arizo/,"mber 16, 2022",Senate Majority PAC,TRUE
18,"?Mark Kelly voted against the Keystone pipeline, which caused higher gas prices.?",https://www.politifact.com/factchecks/2022/sep/16/saving-arizona-pac/pro-gop-ad-arizona-senate-race-falsely-links-keyst/,"mber 16, 2022",Saving Arizona PAC,FALSE
19,"""Val Demings supports abortion up until the moment of birth.""",https://www.politifact.com/factchecks/2022/sep/16/marco-rubio/marco-rubio-misleads-val-demings-stance-abortion-l/,"ber 16, 2022",Marco Rubio,FALSE
20,"If Jeff Bezos? net worth reaches $1 trillion, ?he could literally end world poverty and give everyone $1 billion and he will still have $91.5 billion left.?",https://www.politifact.com/factchecks/2022/sep/16/facebook-posts/claim-jeff-bezos-fortune-could-make-everyone-billi/,"mber 16, 2022",Facebook posts,FALSE
21,"""Democrats' radical green energy policies caused record gas prices. """,https://www.politifact.com/factchecks/2022/sep/16/ron-johnson/green-energy-policies-didnt-cause-record-prices-ga/,"mber 16, 2022",Ron Johnson,FALSE
22,Barack and Michelle Obama are not the real parents of their children.,https://www.politifact.com/factchecks/2022/sep/15/facebook-posts/sasha-and-malia-obamas-parents-are-barack-and-mich/,"mber 15, 2022",Facebook posts,FALSE
23,?Trump lawyers all quit on him at the same time.?,https://www.politifact.com/factchecks/2022/sep/15/facebook-posts/no-trumps-lawyers-did-not-quit-mar-lago-case/,"mber 15, 2022",Facebook posts,FALSE
24,"To qualify for Ohio SNAP benefits, ?now a family of 3 can make up to $3,660 a month and it used to be $2,700, so it?s gone up almost $1,000 a month.?",https://www.politifact.com/factchecks/2022/sep/15/facebook-posts/ohio-did-not-drastically-increase-income-threshold/,"mber 15, 2022",Facebook posts,FALSE
25,?Obama & Clinton are being arrested by the military.?,https://www.politifact.com/factchecks/2022/sep/15/facebook-posts/obama-and-clinton-werent-arrested-military/,"mber 15, 2022",Facebook posts,FALSE
26,A CNN report on 9/11 proved that a plane never hit the Pentagon.,https://www.politifact.com/factchecks/2022/sep/15/instagram-posts/facebook-post-shares-misleadingly-edited-version-c/,"mber 15, 2022",Instagram posts,FALSE
27,?The FBI confirmed? that Ashley Biden said her father molested her.,https://www.politifact.com/factchecks/2022/sep/15/facebook-posts/fbi-did-not-confirm-any-contents-ashley-bidens-dia/,"mber 15, 2022",Facebook posts,FALSE
28,Video shows Hillary Clinton popping a brown paper bag during a press conference.,https://www.politifact.com/factchecks/2022/sep/15/viral-image/no-isnt-real-clip-hillary-clinton-popping-paper-ba/,"mber 15, 2022",Viral image,FALSE
29,"?The pope, Xi and Putin all meet to plan world events!?",https://www.politifact.com/factchecks/2022/sep/15/facebook-posts/no-pope-putin-and-xi-didnt-meet-plan-world-events/,"mber 15, 2022",Facebook posts,FALSE
30,"Under new Illinois law, these crimes are ?non-detainable"": ?Burglary, robbery, arson, kidnapping, DUI offenses, even DUI involving a fatality, most drug offenses, and even 2nd degree murder.?",https://www.politifact.com/factchecks/2022/sep/14/facebook-posts/social-media-post-misleads-about-pretrial-detentio/,"mber 14, 2022",Facebook posts,FALSE
31,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",https://www.politifact.com/factchecks/2022/sep/14/instagram-posts/no-russia-did-not-exit-antarctic-treaty-or-discove/,"mber 14, 2022",Instagram posts,FALSE
32,?The sun is not 93 million miles away ? it is local and under a firmament dome.?,https://www.politifact.com/factchecks/2022/sep/14/viral-image/sun-about-93-million-miles-away-earth-though-unfou/,"ber 14, 2022",Viral image,FALSE
33,?Everyone but Trump invited to royal funeral.?,https://www.politifact.com/factchecks/2022/sep/14/viral-image/no-trump-wasnt-only-former-president-not-invited-q/,"mber 14, 2022",Viral image,FALSE
34,The Clintons killed Ken Starr.,https://www.politifact.com/factchecks/2022/sep/14/tweets/ken-starr-died-because-surgery-complications-not-b/,"mber 14, 2022",Tweets,FALSE
35,?No plane debris was found at the Pentagon.?,https://www.politifact.com/factchecks/2022/sep/14/instagram-posts/plane-debris-was-found-pentagon-after-911/,"mber 14, 2022",Instagram posts,FALSE
36,"Video shows a statement from Donald Trump on Sept. 8, 2022.",https://www.politifact.com/factchecks/2022/sep/14/facebook-posts/no-isnt-trump-speech-2022/,"mber 14, 2022",Facebook posts,FALSE
37,A Boeing 757 didn?t fly into the Pentagon on 9/11.,https://www.politifact.com/factchecks/2022/sep/14/facebook-posts/yes-plane-crashed-pentagon-sept-11-2001/,"mber 14, 2022",Facebook posts,FALSE
38,Photos show Queen Elizabeth II was a ?Luciferian.?,https://www.politifact.com/factchecks/2022/sep/14/instagram-posts/no-these-photos-dont-prove-queen-elizabeth-ii-was-/,"mber 14, 2022",Instagram posts,FALSE
39,?Nancy Pelosi set to resign from Congress as Trump files impeachment lawsuits against her.?,https://www.politifact.com/factchecks/2022/sep/14/facebook-posts/no-pelosi-isnt-resigning-because-trump-initiated-i/,"mber 14, 2022",Facebook posts,FALSE
40,?I don?t accept a dime of corporate money.?,https://www.politifact.com/factchecks/2022/sep/14/abigail-spanberger/spanbergers-rejection-corporate-pac-money-needs-li/,"mber 14, 2022",Abigail Spanberger,TRUE
41,"""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses? aides.?",https://www.politifact.com/factchecks/2022/sep/13/elizabeth-warren/40-student-borrowers-lack-4-year-degree/,"mber 13, 2022",Elizabeth Warren,TRUE
42,"Donald Trump said, ?I never told anybody but she knighted me in private.?",https://www.politifact.com/factchecks/2022/sep/13/viral-image/no-trump-didnt-say-queen-elizabeth-ii-secretly-kni/,"mber 13, 2022",Viral image,FALSE
43,"Following protests in Grand Rapids, Michigan, in 2020, Democratic U.S. House candidate Hillary Scholten ""dismissed the destruction and praised the rioters.""",https://www.politifact.com/factchecks/2022/sep/13/congressional-leadership-fund/no-scholten-didnt-dismiss-damage-riots-or-praise-r/,"mber 13, 2022",Congressional Leadership Fund,FALSE
44,?I had zero emails that were classified.?,https://www.politifact.com/factchecks/2022/sep/13/hillary-clinton/clinton-exaggerates-absence-classified-information/,"mber 13, 2022",Hillary Clinton,TRUE
45,Joe Biden appointed a 'satanist' to the White House.,https://www.politifact.com/factchecks/2022/sep/13/instagram-posts/posts-claim-national-monkeypox-response-coordinato/,"mber 13, 2022",Instagram posts,FALSE
46,Joe Biden called Pope Francis the ?famous African American baseball player in America.",https://www.politifact.com/factchecks/2022/sep/13/facebook-posts/no-biden-didnt-call-pope-famous-african-american-b/,"mber 13, 2022",Facebook posts,FALSE
47,?Ron Johnson just came out in favor of a federal abortion ban.?,https://www.politifact.com/factchecks/2022/sep/13/mandela-barnes/challenger-barnes-vastly-overstates-case-suggestin/,"mber 13, 2022",Mandela Barnes,FALSE
48,"As a mayor, ""John Fetterman chased down an innocent, unarmed Black man,"" wielded a shotgun and ""falsely accused the man, triggering a confrontation with police.""",https://www.politifact.com/factchecks/2022/sep/12/american-leadership-action/ad-dissects-john-fettermans-2013-armed-chase-black/,"mber 12, 2022",American Leadership Action,TRUE
49,"Says of 9/11, ?Two planes can?t cause three buildings to collapse in free-fall time.?",https://www.politifact.com/factchecks/2022/sep/12/facebook-posts/911-conspiracy-theories-misconstrue-how-world-trad/,"mber 12, 2022",Facebook posts,FALSE
50,King Charles III signed ?a proclamation stating that Donald Trump won the 2020 presidential election and is the rightful president by law.?,https://www.politifact.com/factchecks/2022/sep/12/facebook-posts/king-charles-iii-didnt-declare-trump-winner-2020-e/,"mber 12, 2022",Facebook posts,FALSE
51,"Barack Obama urged people on Sept. 10, 2001, to ?report to work tomorrow? at the World Trade Center.",https://www.politifact.com/factchecks/2022/sep/12/viral-image/no-obama-didnt-post-video-message-telling-people-g/,"mber 12, 2022",Viral image,FALSE
52,?North Korea confirms it has landed a man on the sun.?,https://www.politifact.com/factchecks/2022/sep/12/viral-image/no-north-korea-didnt-land-someone-sun/,"mber 12, 2022",Viral image,FALSE
53,Photo shows Queen Elizabeth II meeting Donald Trump wearing a brooch given to her by Barack Obama.,https://www.politifact.com/factchecks/2022/sep/12/viral-image/photo-doesnt-show-queen-wearing-obama-gifted-brooc/,"mber 12, 2022",Viral image,FALSE
54,Queen Elizabeth II was a reptile.,https://www.politifact.com/factchecks/2022/sep/12/facebook-posts/reptilian-conspiracy-theory-continues-after-queens/,"mber 12, 2022",Facebook posts,FALSE
55,Photo shows Queen Elizabeth II being carried across a river by African porters.,https://www.politifact.com/factchecks/2022/sep/12/facebook-posts/no-photo-doesnt-show-african-porters-carrying-quee/,"mber 12, 2022",Facebook posts,FALSE
56,A ?13 or 15 year old boy escapes Buckingham Palace? in video.,https://www.politifact.com/factchecks/2022/sep/09/viral-image/video-doesnt-show-child-escaping-buckingham-palace/,"ember 9, 2022",Viral image,FALSE
57,?Prince was sacrificed for (Queen Elizabeth II?s) 90th birthday.?,https://www.politifact.com/factchecks/2022/sep/09/instagram-posts/baseless-conspiracy-theory-ties-princes-death-quee/,"ember 9, 2022",Instagram posts,FALSE
58,A BBC radio station resumed playing dance music after announcing Queen Elizabeth II had died.,https://www.politifact.com/factchecks/2022/sep/09/instagram-posts/no-bbc-radio-station-didnt-resume-normal-programmi/,"ember 9, 2022",Instagram posts,FALSE
59,"?We all know the Queen?s been dead for a while now,? and her death is part of a dark conspiracy involving pedophilia or child trafficking.",https://www.politifact.com/factchecks/2022/sep/09/facebook-posts/queen-elizabeths-passing-not-part-conspiracy/,"ember 9, 2022",Facebook posts,FALSE
60,Video shows Queen Elizabeth II ?feeding Africans like chickens.?,https://www.politifact.com/factchecks/2022/sep/09/facebook-posts/no-isnt-video-queen-elizabeth-ii-feeding-africans/,"ember 9, 2022",Facebook posts,FALSE
61,?Queen Elizabeth shot dead in Detroit.?,https://www.politifact.com/factchecks/2022/sep/09/instagram-posts/queen-elizabeth-died-united-kingdom-not-detroit/,"ember 9, 2022",Instagram posts,FALSE
62,"The federal government is providing free solar panel installation and $8,500 incentive checks to eligible homeowners.",https://www.politifact.com/factchecks/2022/sep/09/facebook-posts/facebook-post-falsely-claims-feds-are-subsidizing-/,"ember 9, 2022",Facebook posts,FALSE
63,Video proves ?space is fake.?,https://www.politifact.com/factchecks/2022/sep/09/viral-image/no-video-doesnt-prove-space-fake/,"ember 9, 2022",Viral image,FALSE
64,Astronaut Karen Nyberg filmed what ?was supposedly a video from space? in front of a green screen.,https://www.politifact.com/factchecks/2022/sep/09/instagram-posts/no-isnt-video-nasa-astronaut-pretending-be-space/,"ember 9, 2022",Instagram posts,FALSE
65,Says President Joe Biden ?recently said that 48.8% of Wisconsin voters are threats to democracy.?,https://www.politifact.com/factchecks/2022/sep/09/republican-governors-association/no-biden-didnt-say-nearly-half-wisconsin-voters-ar/,"ember 9, 2022",Republican Governors Association,FALSE
66,Video shows Hillary Clinton dressed as a space cult leader in a satanic ritual.,https://www.politifact.com/factchecks/2022/sep/09/instagram-posts/video-hillary-clinton-party-mischaracterized-onlin/,"ember 9, 2022",Instagram posts,FALSE
67,Russia ?has not lost anything? in its invasion of Ukraine.,https://www.politifact.com/factchecks/2022/sep/09/vladimir-putin/despite-putins-claim-russia-has-lost-plenty-ukrain/,"ember 9, 2022",Vladimir Putin,FALSE
68,Video shows there weren?t Marines present during a recent speech by Joe Biden.,https://www.politifact.com/factchecks/2022/sep/08/viral-image/no-video-doesnt-prove-there-werent-marines-bidens-/,"ember 8, 2022",Viral image,FALSE
69,?The Russian army is withdrawing from Ukraine!? in September 2022,https://www.politifact.com/factchecks/2022/sep/08/facebook-posts/no-russia-not-withdrawing-ukraine/,"ember 8, 2022",Facebook posts,FALSE
70,"?Here in Nevada, the DMV registers everybody (to vote) and so that means illegals. They don?t check.?",https://www.politifact.com/factchecks/2022/sep/08/jim-marchant/nevada-republican-misleads-about-dmv-registering-i/,"ember 8, 2022",Jim Marchant,FALSE
71,Executive Order 14067 will allow the federal government to ?turn on and turn off your money.?,https://www.politifact.com/factchecks/2022/sep/08/tiktok-posts/executive-order-14067-does-not-allow-federal-gover/,"ember 8, 2022",TikTok posts,FALSE
72,Queen Elizabeth died because of the COVID-19 vaccine.,https://www.politifact.com/factchecks/2022/sep/08/tweets/claims-queen-elizabeth-died-because-covid-19-vacci/,"ember 8, 2022",Tweets,FALSE
73,"""FEC charges (Beto O'Rourke's 2018 campaign) Illegal Campaign Contributions.""",https://www.politifact.com/factchecks/2022/sep/08/facebook-posts/federal-election-commission-has-civil-not-criminal/,"ember 8, 2022",Facebook posts,FALSE
74,"?With the combined salary of the 87,000 new IRS Agents ($81,456 average annual salary), you could put a police officer ($55,117) in every public school in the nation (97,568) and still have 31,007 police officers or $1,709,012,819 left over.?",https://www.politifact.com/factchecks/2022/sep/08/facebook-posts/inaccurate-data-fuels-false-conclusion-about-money/,"ember 8, 2022",Facebook posts,FALSE
75,?Naomi Biden says Joe Biden died four years ago.?,https://www.politifact.com/factchecks/2022/sep/08/viral-image/no-isnt-video-joe-bidens-granddaughter-saying-he-d/,"ember 8, 2022",Viral image,FALSE
76,?Tim Ryan called police the new Jim Crow.?,https://www.politifact.com/factchecks/2022/sep/08/jd-vance/jd-vance-distorts-tim-ryans-words-police-race/,"ember 8, 2022",J.D. Vance,FALSE
77,Video shows Joe Biden has a body double.,https://www.politifact.com/factchecks/2022/sep/07/viral-image/no-video-doesnt-prove-biden-has-body-double/,"ember 7, 2022",Viral image,FALSE
78,?The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.?,https://www.politifact.com/factchecks/2022/sep/07/blog-posting/claim-musk-will-supply-hypersonic-jet-ukrainian-wa/,"ember 7, 2022",Bloggers,FALSE
79,The National Institutes of Health ?adds ivermectin to list of COVID approved treatments.?,https://www.politifact.com/factchecks/2022/sep/07/instagram-posts/no-nih-doesnt-recommend-using-ivermectin-treat-cov/,"ember 7, 2022",Instagram posts,FALSE
80,The child tax credit passed under President Joe Biden ?has helped 97% of the families with children who are living in poverty.?,https://www.politifact.com/factchecks/2022/sep/07/raphael-warnock/raphael-warnock-exaggerates-success-rate-reaching-/,"ember 7, 2022",Raphael Warnock,TRUE
81,There?s an unlimited supply of water being generated ?deep within the Earth.?,https://www.politifact.com/factchecks/2022/sep/07/instagram-posts/no-there-isnt-unlimited-supply-water-being-made-un/,"ember 7, 2022",Instagram posts,FALSE
82,President Joe Biden ?employed actors to portray Marine guards? during a Sept. 1 speech.,https://www.politifact.com/factchecks/2022/sep/07/facebook-posts/no-biden-didnt-hire-actors-pose-us-marines/,"ember 7, 2022",Facebook posts,FALSE
83,?Walmart management is helping with rising prices with $500 grocery cards for $2.?,https://www.politifact.com/factchecks/2022/sep/06/facebook-posts/dont-fall-walmart-gift-card-offer/,"ember 6, 2022",Facebook posts,FALSE
84,Bank of America ?announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.?,https://www.politifact.com/factchecks/2022/sep/06/gateway-pundit/bank-americas-new-home-loan-program-does-not-exclu/,"ember 6, 2022",The Gateway Pundit,FALSE
85,Says Mandela Barnes "supports stripping health care away from millions.",https://www.politifact.com/factchecks/2022/sep/06/national-republican-senatorial-committee/no-despite-claim-barnes-does-not-back-stripping-he/,"ember 6, 2022",National Republican Senatorial Committee,FALSE
86,Gov. Ron DeSantis raised "taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.",https://www.politifact.com/factchecks/2022/sep/02/charlie-crist/charlie-crist-misleads-ron-desantis-record-taxes/,"ember 2, 2022",Charlie Crist,FALSE
87,"?60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion ? which disenfranchises voters ? a Democrat ?won.?""",https://www.politifact.com/factchecks/2022/sep/02/tom-cotton/how-tom-cotton-misleads-about-ranked-choice-voting/,"ember 2, 2022",Tom Cotton,FALSE
88,Says ?Tim Michels doesn?t think gay people should be out in public.?,https://www.politifact.com/factchecks/2022/sep/02/state-democratic-party-wisconsin/wisconsin-dems-exaggerate-claim-tim-michels-believ/,"ember 2, 2022",Democratic Party of Wisconsin,FALSE
89,Three churches were targeted during arson attacks over the summer ?because they protect unborn babies and women in need.?,https://www.politifact.com/factchecks/2022/sep/01/catholicvote/catholic-groups-ad-attacking-biden-overstates-role/,"ember 1, 2022",CatholicVote,FALSE
90,Joe Biden and Raphael Warnock "are spending $1.5 billion on ?urban forestry? and raising taxes on those making under $200k to pay for it.?,https://www.politifact.com/factchecks/2022/sep/01/herschel-walker/what-herschel-walker-gets-wrong-and-right-about-fe/,"ember 1, 2022",Herschel Walker,TRUE
91,"?Sixty-four members of Congress ? Republicans and Democrats ? have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.?",https://www.politifact.com/factchecks/2022/sep/01/cheri-beasley/beasley-ad-half-right-about-stock-act-violations/,"ember 1, 2022",Cheri Beasley,TRUE
92,"In New York, you need to show identification to buy whipped cream, but not to vote.",https://www.politifact.com/factchecks/2022/sep/01/social-media/show-id-buy-whipped-cream-not-vote-new-york-s-misl/,"ember 1, 2022",Social Media,FALSE
93,"""Water-fueled car can travel from LA to NY on 22 gallons.""",https://www.politifact.com/factchecks/2022/aug/31/instagram-posts/claim-water-fueled-dune-buggy-defies-physics/,"gust 31, 2022",Instagram posts,FALSE
94,The public health order Title 42 is "the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.?,https://www.politifact.com/factchecks/2022/aug/31/adam-laxalt/title-42-not-last-tool-border-patrol-has-prevent-i/,"gust 31, 2022",Adam Laxalt,FALSE
95,"""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/document-doesnt-prove-biden-lied-about-mar-lago-pr/,"gust 31, 2022",Facebook posts,FALSE
96,"The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.",https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/irs-not-expanding-its-workforce-because-bidens-stu/,"gust 31, 2022",Facebook posts,FALSE
97,Fox News sought the legal "right to tell lies.",https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/viral-post-falsely-claims-fox-news-sought-legal-ri/,"gust 31, 2022",Facebook posts,FALSE
98,?The Earth just started spinning faster than ever before and scientists are gravely concerned.?,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/earth-spun-little-faster-recently-scientists-arent/,"gust 31, 2022",Facebook posts,TRUE
99,El Presidente de Rusia Vladimir Putin ?anuncia que se arrepiente de invadir Ucrania?.,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/putin-no-ha-anunciado-que-esta-arrepentido-de-inva/,"gust 31, 2022",Facebook posts,FALSE
100,The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,https://www.politifact.com/factchecks/2022/aug/31/instagram-posts/outdated-report-misconstrues-uks-covid-19-vaccine-/,"gust 31, 2022",Instagram posts,FALSE
101,Joe Biden's student debt forgiveness plan is a "bailout for rich kids.",https://www.politifact.com/factchecks/2022/aug/31/american-action-network/most-relief-bidens-student-loan-forgiveness-plan-f/,"gust 31, 2022",American Action Network,FALSE
102,An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/no-fec-filing-doesnt-mean-joe-biden-has-announced-/,"gust 31, 2022",Facebook posts,FALSE
103,Joe Biden threatened to assassinate Ukraine?s former president.,https://www.politifact.com/factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,"gust 31, 2022",Facebook posts,FALSE
104,?Starbucks just announced that they?re going cashless.?,https://www.politifact.com/factchecks/2022/aug/31/instagram-posts/rumors-spread-starbucks-turning-its-stores-cashles/,"gust 31, 2022",Instagram posts,FALSE
105,?Harvard is sitting on top of a $54 billion hedge fund they call an ?endowment? that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.?,https://www.politifact.com/factchecks/2022/aug/31/charlie-kirk/some-university-endowments-are-taxed-there-are-lim/,"gust 31, 2022",Charlie Kirk,TRUE
106,"?The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ?would rise for ALL taxpayers? regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don?t owe the IRS anything.?",https://www.politifact.com/factchecks/2022/aug/31/joni-ernst/ernst-newsletter-skips-part-report-irs-audits/,"gust 30, 2022",Joni Ernst,TRUE
107,"Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/claim-about-hidden-antarctic-continent-and-killer-/,"gust 30, 2022",Facebook posts,FALSE
108,The FBI ?spent more time investigating? the Jan. 6 Capitol attack than 9/11.,https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/jan-6-capitol-attack-investigation-nowhere-near-le/,"gust 30, 2022",Facebook posts,FALSE
109,"The National Guard was activated Jan. 6, 2021, and ?is in complete control.?",https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/no-us-military-has-not-taken-control-government/,"gust 30, 2022",Facebook posts,FALSE
110,"?In Arizona, we have flood the zone with fake ballots.?",https://www.politifact.com/factchecks/2022/aug/30/mark-finchem/arizona-republican-secretary-state-candidate-wrong/,"gust 30, 2022",Mark Finchem,FALSE
111,Student debt relief is taxable by the Internal Revenue Service.,https://www.politifact.com/factchecks/2022/aug/30/facebook-posts/irs-wont-tax-student-loan-relief-some-states-might/,"gust 30, 2022",Facebook posts,FALSE
112,Instagram?s "precise location" feature can be used by criminals to target victims.,https://www.politifact.com/factchecks/2022/aug/30/instagram-posts/no-instagram-not-revealing-your-location-without-y/,"gust 30, 2022",Instagram posts,FALSE
113,Moderna?s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,https://www.politifact.com/factchecks/2022/aug/30/instagram-posts/modernas-lawsuits-against-pfizer-do-not-prove-covi/,"gust 30, 2022",Instagram posts,FALSE
114,Image claims to show a list of "Republican members of Congress whose PPP loans were forgiven.",https://www.politifact.com/factchecks/2022/aug/30/instagram-posts/businesses-associated-these-gop-politicians-had-pa/,"gust 30, 2022",Instagram posts,TRUE
115,?$1.5 billion of your taxpayer money is sitting in an account? that can be used for other purposes.,https://www.politifact.com/factchecks/2022/aug/29/deidre-dejear/differences-exist-how-spend-it-state-budget-surplu/,"gust 29, 2022",Deidre DeJear,FALSE
116,"Sarasota, Florida, teachers told they cannot purchase books, accept donated reading materials, order from Scholastic or hold book fairs.",https://www.politifact.com/factchecks/2022/aug/29/facebook-posts/florida-school-district-halted-library-purchases-d/,"gust 29, 2022",Facebook posts,TRUE
117,?Nearly half of pregnant women in Pfizer trial miscarried.?,https://www.politifact.com/factchecks/2022/aug/29/viral-image/its-not-true-nearly-half-pregnant-women-pfizers-co/,"gust 29, 2022",Viral image,FALSE
118,The Supreme Court will put Donald Trump back in office in October,https://www.politifact.com/factchecks/2022/aug/29/facebook-posts/us-supreme-court-not-going-put-trump-back-office/,"gust 29, 2022",Facebook posts,FALSE
119,Says Democratic Senate candidate Mandela Barnes ?supports abolishing ICE.?,https://www.politifact.com/factchecks/2022/aug/29/national-republican-senatorial-committee/barnes-does-not-support-abolish-ice-movement/,"gust 29, 2022",National Republican Senatorial Committee,FALSE
120,"Screenshots show that conservative political commentator Ben Shapiro received more than $20,000 in Paycheck Protection Program loan forgiveness.",https://www.politifact.com/factchecks/2022/aug/26/facebook-posts/political-commentator-ben-shapiro-didnt-receive-pp/,"gust 26, 2022",Facebook posts,FALSE
121,"""If your body's pH is alkaline, you cannot get cancer. And if you have cancer, it goes away.""",https://www.politifact.com/factchecks/2022/aug/26/viral-image/no-your-bodys-ph-levels-cant-prevent-you-getting-c/,"gust 26, 2022",Viral image,FALSE
